Date,Adj Close,Close,High,Low,Open
2025-01-07,394.3599853515625,414.3299865722656,390.0,405.8299865722656,75699500
2025-01-08,394.9400024414063,402.5,387.3999938964844,392.9500122070313,73038800
2025-01-10,394.739990234375,399.2799987792969,377.2900085449219,391.3999938964844,62287300
2025-01-13,403.30999755859375,403.7900085449219,380.0700073242188,383.2099914550781,67580500
2025-01-14,396.3599853515625,422.6400146484375,394.5400085449219,414.3399963378906,84565000
2025-01-15,428.2200012207031,429.7999877929688,405.6600036621094,409.8999938964844,81375500
2025-01-16,413.8200073242188,424.0,409.1300048828125,423.489990234375,68335200
2025-01-17,426.5,439.739990234375,419.75,421.5,94991400
2025-01-21,424.0700073242188,433.2000122070313,406.30999755859375,432.6400146484375,87320900
2025-01-22,415.1099853515625,428.0,414.5899963378906,416.80999755859375,60963300
2025-01-23,412.3800048828125,420.7300109863281,408.9500122070313,416.05999755859375,50690600
2025-01-24,406.5799865722656,418.8800048828125,405.7799987792969,414.4500122070313,56427100
2025-01-27,397.1499938964844,406.6900024414063,389.0,394.7999877929688,58125500
2025-01-28,398.0899963378906,400.5899963378906,386.5,396.9100036621094,48910700
2025-01-29,389.1000061035156,398.5899963378906,384.4800109863281,395.2099914550781,68033600
2025-01-30,400.2799987792969,412.5,384.4100036621094,410.7799987792969,98092900
2025-01-31,404.6000061035156,419.989990234375,401.3399963378906,401.5299987792969,83568200
2025-02-03,383.6799926757813,389.1700134277344,374.3599853515625,386.6799926757813,93732100
2025-02-04,392.2099914550781,394.0,381.3999938964844,382.6300048828125,57072200
2025-02-05,378.1700134277344,388.3900146484375,375.5299987792969,387.510009765625,57223300
2025-02-06,374.3200073242188,375.3999938964844,363.1799926757813,373.0299987792969,77918200
2025-02-07,361.6199951171875,380.5499877929688,360.3399963378906,370.1900024414063,70298300
2025-02-10,350.7300109863281,362.7000122070313,350.510009765625,356.2099914550781,77514900
2025-02-11,328.5,349.3699951171875,325.1000061035156,345.79998779296875,118543400
2025-02-12,336.510009765625,346.3999938964844,329.1199951171875,329.94000244140625,105382700
2025-02-13,355.94000244140625,358.69000244140625,342.8500061035156,345.0,89441500
2025-02-14,355.8399963378906,362.0,347.5,360.6199951171875,68277300
2025-02-18,354.1099853515625,359.1000061035156,350.0199890136719,355.010009765625,51631700
2025-02-19,360.55999755859375,367.3399963378906,353.6700134277344,354.0,67094400
2025-02-20,354.3999938964844,362.2999877929688,348.0,361.510009765625,45965400
2025-02-21,337.79998779296875,354.9800109863281,334.4200134277344,353.44000244140625,74058600
2025-02-24,330.5299987792969,342.3999938964844,324.70001220703125,338.1400146484375,76052300
2025-02-25,302.79998779296875,328.8900146484375,297.25,327.0199890136719,134228800
2025-02-26,290.79998779296875,309.0,288.0400085449219,303.7099914550781,100118300
2025-02-27,281.95001220703125,297.2300109863281,280.8800048828125,291.1600036621094,101748200
2025-02-28,292.9800109863281,293.8800048828125,273.6000061035156,279.5,115697000
2025-03-03,284.6499938964844,303.94000244140625,277.29998779296875,300.3399963378906,115551400
2025-03-04,272.0400085449219,284.3500061035156,261.8399963378906,270.92999267578125,126706600
2025-03-05,279.1000061035156,279.54998779296875,267.7099914550781,272.9200134277344,94042900
2025-03-06,263.45001220703125,272.6499938964844,260.0199890136719,272.0599975585937,98451600
2025-03-07,262.6700134277344,266.25,250.72999572753903,259.32000732421875,102369600
2025-03-10,222.1499938964844,253.3699951171875,220.0,252.5399932861328,189076900
2025-03-11,230.5800018310547,237.05999755859372,217.0200042724609,225.30999755859372,174896400
2025-03-12,248.08999633789065,251.83999633789065,241.1000061035156,247.22000122070312,142215700
2025-03-13,240.67999267578125,248.2899932861328,232.6000061035156,248.1300048828125,114813500
2025-03-14,249.97999572753903,251.5800018310547,240.72999572753903,247.30999755859372,100242300
2025-03-17,238.00999450683597,245.3999938964844,232.8000030517578,245.05999755859372,111900600
2025-03-18,225.30999755859372,230.1000061035156,222.27999877929688,228.16000366210935,111477600
2025-03-19,235.8600006103516,241.41000366210935,229.1999969482422,231.6100006103516,111993800
2025-03-20,236.25999450683597,238.0,230.0500030517578,233.3500061035156,98723100
